,evaluation_mode,train_size,validation_unbalance_rate,use_scale_free_distribution,f1_score,negative_predictive_value,threat_score,matthews_correlation_coefficient,positive_likelyhood_ratio,precision,miss_rate,prevalence_threshold,recall,specificity,false_discovery_rate,fowlkes_mallows_index,fall_out,negative_likelyhood_ratio,balanced_accuracy,false_omission_rate,markedness,accuracy,informedness,diagnostic_odds_ratio,prevalence,auroc,auprc,time_required_for_training,time_required_for_evaluation,time,task_name,model_name,library_name,graph_name,nodes_number,edges_number,evaluation_schema,holdout_number,holdouts_kwargs,use_subgraph_as_support,node_feature_shapes,node_type_feature_shapes,edge_type_feature_shapes,number_of_threads,python_version,platform,node,embiggen_version,number_of_holdouts,number_of_slurm_nodes,time_required_to_compute_constant_node_features,time_required_to_compute_constant_node_type_features,time_required_to_compute_constant_edge_features,time_required_for_setting_up_holdout,time_required_to_compute_node_features,time_required_to_compute_node_type_features,time_required_to_compute_edge_type_features,time_required_to_compute_edge_features,features_names,"('model_parameters', 'edge_embedding_methods')","('model_parameters', 'training_unbalance_rate')","('model_parameters', 'prediction_batch_size')","('model_parameters', 'use_edge_metrics')","('model_parameters', 'use_scale_free_distribution')","('model_parameters', 'random_state')","('model_parameters', 'criterion')","('model_parameters', 'splitter')","('model_parameters', 'max_depth')","('model_parameters', 'min_samples_split')","('model_parameters', 'min_samples_leaf')","('model_parameters', 'min_weight_fraction_leaf')","('model_parameters', 'max_features')","('model_parameters', 'max_leaf_nodes')","('model_parameters', 'min_impurity_decrease')","('model_parameters', 'ccp_alpha')"
0,train,0.8000008684701898,1.0,True,0.6929403961925291,0.8232802154640332,0.5301521018429385,0.2343093850532706,1.1855827006365667,0.5424561149258992,0.041028658399563156,0.4787335399346661,0.9589713416004368,0.1911392253905669,0.4575438850741008,0.7212488255032727,0.8088607746094331,0.2146532629067984,0.5750552834955018,0.1767197845359668,0.36573633038993236,0.5750552834955018,0.15011056699100367,5.523245650131775,0.5,0.6881951577958471,0.6237037254103422,21.236573934555054,4.4963014125823975,1730547586.7435093,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,0,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.0072634220123291016,5.7220458984375e-06,3.5762786865234375e-06,1.2111685276031494,0.003183126449584961,1.0013580322265625e-05,1.9073486328125e-06,3.0994415283203125e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
1,test,0.8000008684701898,1.0,True,0.6940232075578151,0.8319665145173204,0.5314207814213815,0.23890470046305723,1.1881016516242582,0.5429828411958438,0.038525504909049046,0.47846872607649366,0.961474495090951,0.19074727841972478,0.45701715880415616,0.7225400702257446,0.8092527215802752,0.20197145263733002,0.5761108867553378,0.1680334854826796,0.37494935571316423,0.5761108867553378,0.15222177351067567,5.882522683825385,0.5,0.7455202878512871,0.6728998803354438,21.236573934555054,4.4963014125823975,1730547586.7435093,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,0,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.0072634220123291016,5.7220458984375e-06,3.5762786865234375e-06,1.2111685276031494,0.003183126449584961,1.0013580322265625e-05,1.9073486328125e-06,3.0994415283203125e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
0,train,0.8000008684701898,1.0,True,0.6683841811191192,0.6741547346466469,0.5019346959101492,0.1487935406444239,1.1357544901478576,0.53178138938115,0.1005730811443385,0.4840932223006668,0.8994269188556615,0.20807980363910325,0.46821861061884995,0.6915912785423705,0.7919201963608967,0.48333898526151037,0.5537533612473824,0.3258452653533531,0.20593612402779682,0.5537533612473824,0.10750672249476478,2.3498093983322246,0.5,0.6567305689820327,0.637398468897376,21.932543992996216,4.429955959320068,1730547614.2787971,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,1,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.0072634220123291016,5.7220458984375e-06,3.5762786865234375e-06,1.1520919799804688,0.003263711929321289,9.059906005859375e-06,1.430511474609375e-06,2.86102294921875e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
1,test,0.8000008684701898,1.0,True,0.6668249714486019,0.6673490418894831,0.5001781140269037,0.14384450268825852,1.1317884716616948,0.5309103068652417,0.1037261875295824,0.4845300517013532,0.8962738124704176,0.2080907034204847,0.46908969313475835,0.6898122967981576,0.7919092965795154,0.49846622566307053,0.5521822579454512,0.3326509581105169,0.19825934875472484,0.5521822579454512,0.10436451589090234,2.2705419412441943,0.5,0.6958470898682065,0.6702375305533993,21.932543992996216,4.429955959320068,1730547614.2787971,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,1,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.0072634220123291016,5.7220458984375e-06,3.5762786865234375e-06,1.1520919799804688,0.003263711929321289,9.059906005859375e-06,1.430511474609375e-06,2.86102294921875e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
0,train,0.8000008684701898,1.0,True,0.6767366883522482,0.7139462572987281,0.5114149862657064,0.17576215506117276,1.1556288221072324,0.5360982420793339,0.0825935965591248,0.4819272979599246,0.9174064034408752,0.20614094604526245,0.4639017579206661,0.7012987666871926,0.7938590539547375,0.40066565203882243,0.5617736747430688,0.28605374270127193,0.25004449937806195,0.5617736747430688,0.12354734948613766,2.8842722510070766,0.5,0.6714566679007802,0.6475917296776,21.260947465896606,4.370752334594727,1730547641.028409,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,2,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.0072634220123291016,5.7220458984375e-06,3.5762786865234375e-06,1.0988929271697998,0.0030219554901123047,9.5367431640625e-06,1.6689300537109375e-06,3.337860107421875e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
1,test,0.8000008684701898,1.0,True,0.6757053595622177,0.7086248474202864,0.510237932654356,0.1724218835111319,1.1534335057612832,0.5356253177427555,0.08499754656106018,0.48216467638923327,0.9150024534389398,0.20671417219233224,0.46437468225724454,0.700070339222162,0.7932858278076678,0.41118393412318266,0.560858312815636,0.2913751525797136,0.244250165163042,0.560858312815636,0.12171662563127206,2.8051521716695698,0.5,0.7132999949365644,0.6837431485160502,21.260947465896606,4.370752334594727,1730547641.028409,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,2,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.0072634220123291016,5.7220458984375e-06,3.5762786865234375e-06,1.0988929271697998,0.0030219554901123047,9.5367431640625e-06,1.6689300537109375e-06,3.337860107421875e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
0,train,0.8000008684701898,1.0,True,0.6649096085420377,0.6556605851743431,0.49802591105156163,0.10994114559778852,1.0807866141952334,0.519412517757492,0.07636232971217849,0.4902900805984926,0.9236376702878215,0.1454023780859155,0.480587482242508,0.6926391324635518,0.8545976219140845,0.5251793726995129,0.5345200241868685,0.34433941482565683,0.1750731029318351,0.5345200241868685,0.069040048373737,2.0579380500795437,0.5,0.6951778570331513,0.6218053662321548,19.80035972595215,4.3955841064453125,1730547666.3756325,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,3,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.0072634220123291016,5.7220458984375e-06,3.5762786865234375e-06,1.1312263011932373,0.003013134002685547,9.298324584960938e-06,2.1457672119140625e-06,2.86102294921875e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
1,test,0.8000008684701898,1.0,True,0.6649981408748199,0.6561509225891573,0.49812525453004974,0.10993621670665622,1.0805152079768898,0.5193498244252642,0.07582211916331216,0.4903214626331498,0.9241778808366878,0.14468776189917887,0.48065017557473577,0.6927998413324347,0.8553122381008211,0.5240396158463383,0.5344328213679334,0.34384907741084264,0.17550074701442142,0.5344328213679334,0.0688656427358667,2.061896038588282,0.5,0.7069280903276146,0.628469886611964,19.80035972595215,4.3955841064453125,1730547666.3756325,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,3,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.0072634220123291016,5.7220458984375e-06,3.5762786865234375e-06,1.1312263011932373,0.003013134002685547,9.298324584960938e-06,2.1457672119140625e-06,2.86102294921875e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
0,train,0.8000008684701898,1.0,True,0.6938371476614374,0.8247156389437496,0.5312026340507134,0.23837224426084763,1.1917663607670979,0.543746989688258,0.041622474247172914,0.4780844826813234,0.9583775257528271,0.19583438725695074,0.45625301031174204,0.7218828815070909,0.8041656127430492,0.21253915019817649,0.5771059565048889,0.17528436105625045,0.3684626286320074,0.5771059565048889,0.15421191300977788,5.607279221996827,0.5,0.672403062507727,0.6428829958695456,21.419321298599243,4.375743627548218,1730547693.2809546,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,4,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.0072634220123291016,5.7220458984375e-06,3.5762786865234375e-06,1.0961337089538574,0.0030736923217773438,9.298324584960938e-06,1.430511474609375e-06,2.6226043701171875e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
1,test,0.8000008684701898,1.0,True,0.6952020761017516,0.8352626892252895,0.5328044008720888,0.2441195231993545,1.1950935146951664,0.5444385429115213,0.03856024386748824,0.47773667611981113,0.9614397561325118,0.19551085809569715,0.4555614570884787,0.7234948928126536,0.8044891419043029,0.197228144989339,0.5784753071141044,0.1647373107747106,0.37970123213681073,0.5784753071141044,0.15695061422820888,6.059447117751709,0.5,0.7187746053721741,0.6920727701971148,21.419321298599243,4.375743627548218,1730547693.2809546,Edge Prediction,Decision Tree Classifier,scikit-learn,VIEW4_directed,85299,1151450,Connected Monte Carlo,4,"{""train_size"": 0.8}",False,"[[[85299, 50]]]",[[]],[[]],24,3.10.12,Linux-6.5.0-44-generic-x86_64-with-glibc2.35,raton,0.11.95,5,,0.0072634220123291016,5.7220458984375e-06,3.5762786865234375e-06,1.0961337089538574,0.0030736923217773438,9.298324584960938e-06,1.430511474609375e-06,2.6226043701171875e-06,,Concatenate,1.0,4096,False,True,42,gini,best,10,2,1,0.0,sqrt,,0.0,0.0
